,cuisines,dishTypes,spoonScore,Vegan,Vegetarian,ImageURL,Title,SourceURL,readyInMinutes,PricePerServing,Summary,equipment
174327,"['Chinese', 'Asian']","['lunch', 'main course', 'main dish', 'dinner']",73,FALSE,FALSE,https://spoonacular.com/recipeImages/174327-556x370.jpg,Grilled Sweet and Sour Chicken Packs,https://www.bettycrocker.com/recipes/grilled-sweet-and-sour-chicken-packs/3ec3a3c6-6984-43f3-b07b-fd99f85d1e37,30,228.79,"You can never have too many Chinese recipes, so give Grilled Sweet and Sour Chicken Packs a try. This main course has 429 calories, 35g of protein, and 4g of fat per serving. This","['grill', 'aluminum foil']"
161998,[],"['antipasti', 'starter', 'snack', 'appetizer', 'antipasto', ""hor d'oeuvre""]",12,FALSE,FALSE,https://spoonacular.com/recipeImages/161998-556x370.jpg,Cinnamon Cranberry Punch,http://www.BettyCrocker.com/recipes/cinnamon-cranberry-punch/5e849ef2-9fd2-47e3-b078-f4f16c29aac8,40,15.43,"Cinnamon Cranberry Punch might be just the beverage you are searching for. One serving contains 62 calories, 0g of protein, and 0g of fat. This gluten free and dairy free recipe s","['sauce pan', 'bowl']"
206316,[],"['lunch', 'main course', 'main dish', 'dinner']",77,FALSE,FALSE,https://spoonacular.com/recipeImages/206316-556x370.jpg,Malaysian Barbecue-Glazed Halibut,http://www.myrecipes.com/recipe/malaysian-barbecue-glazed-halibut-10000001723430/,45,582.97,"Need a gluten free, dairy free, and pescatarian main course? Malaysian Barbecue-Glazed Halibut could be an awesome recipe to try. One serving contains 179 calories, 32g of protein","['frying pan', 'sauce pan']"
31607,[],['soup'],71,FALSE,FALSE,https://spoonacular.com/recipeImages/31607-556x370.jpg,Garbanzo Soup with Chorizo and Smoked Paprika,http://www.foodandwine.com/recipes/garbanzo-soup-with-chorizo-and-smoked-paprika,30,149.61,Garbanzo Soup with Chorizo and Smoked Paprika might be just the main course you are searching for. This dairy free recipe serves 6 and costs $1.5 per serving. One portion of this dish contains ,"['frying pan', 'paper towels', 'food processor', 'pot', 'bowl', 'ladle']"
213254,[],"['antipasti', 'starter', 'snack', 'appetizer', 'antipasto', ""hor d'oeuvre""]",21,FALSE,TRUE,https://spoonacular.com/recipeImages/213254-556x370.jpg,Dark Chocolate Chai Latte,http://www.myrecipes.com/m/recipe/dark-chocolate-chai-latte-50400000117089/,25,53.75,"Dark Chocolate Chai Latte might be just the beverage you are searching for. For 54 cents per serving, this recipe covers 5% of your daily requirements of vitamins and minerals. One porti","['sauce pan', 'sieve']"
7528,"['Spanish', 'European']","['lunch', 'main course', 'main dish', 'dinner']",89,FALSE,FALSE,https://spoonacular.com/recipeImages/7528-556x370.jpg,Grilled Tuna with Smoked-Almond Romesco Sauce,http://www.foodandwine.com/recipes/grilled-tuna-with-smoked-almond-romesco-sauce,30,725.04,Grilled Tuna with Smoked-Almond Romesco Sauce might be just the main course you are searching for. This dairy free and pescatarian recipe serves 4 and costs $7.25 per serving. One serving conta,"['food processor', 'grill']"
91601,[],['salad'],80,FALSE,FALSE,https://spoonacular.com/recipeImages/91601-556x370.png,Jicama Salad,http://www.marthastewart.com/346965/jicama-salad,45,165.2,"Jicama Salad might be just the side dish you are searching for. This recipe makes 12 servings with 134 calories, 2g of protein, and 6g of fat each. For 76 cents per serving",
251488,[],"['lunch', 'main course', 'main dish', 'dinner']",87,FALSE,FALSE,https://spoonacular.com/recipeImages/251488-556x370.jpg,Sesame-Crusted Salmon with Ginger Vinaigrette,http://www.myrecipes.com/recipe/sesame-crusted-salmon-with-ginger-vinaigrette-10000000346854/,45,511.46,"Sesame-Crusted Salmon with Ginger Vinaigrette is a gluten free, dairy free, and pescatarian main course. This recipe serves 4. One serving contains 398 calories, 39g of protein, a","['food processor', 'sieve', 'bowl', 'sauce pan', 'frying pan', 'oven']"
221337,"['Nordic', 'Scandinavian', 'European']",[],29,FALSE,FALSE,https://spoonacular.com/recipeImages/221337-556x370.jpg,Citrus-cured salmon gravadlax,https://www.bbcgoodfood.com/recipes/155634/citruscured-salmon-gravadlax,600,274.85,"If you want to add more gluten free and pescatarian recipes to your recipe box, Citrus-cured salmon gravadlax might be a recipe you should try. This recipe serves 8. One portion of this dish co","['food processor', 'knife', 'casserole dish', 'whisk', 'bowl']"
236310,[],['salad'],66,FALSE,TRUE,https://spoonacular.com/recipeImages/236310-556x370.jpg,Blue Cheese Potato Salad,http://www.myrecipes.com/m/recipe/blue-cheese-potato-salad-53420000016042/,45,107.72,"Blue Cheese Potato Salad might be just the side dish you are searching for. One serving contains 306 calories, 10g of protein, and 17g of fat. For $1.08 per serving, this r","['bowl', 'mixing bowl']"
115454,[],['side dish'],36,FALSE,FALSE,https://spoonacular.com/recipeImages/115454-556x370.jpg,A Kick in the Asparagus,http://www.food.com/recipe/a-kick-in-the-asparagus-124597,186,146.45,"A Kick in the Asparagus might be just the side dish you are searching for. Watching your figure? This gluten free and dairy free recipe has 124 calories, 3g of protein, and 9g of fat<",
282325,['American'],"['lunch', 'main course', 'main dish', 'dinner']",77,FALSE,FALSE,https://spoonacular.com/recipeImages/282325-556x370.jpg,Julie's Famous Macaroni and Cheese,http://allrecipes.com/Recipe/Julies-Famous-Macaroni-and-Cheese/Detail.aspx,75,1726.35,"Julie's Famous Macaroni and Cheese might be just the main course you are searching for. For $17.18 per serving, this recipe covers 83% of your daily requirements of vitamins and minerals","['oven', 'pot', 'colander', 'sauce pan', 'whisk', 'baking pan', 'bowl', 'aluminum foil', 'frying pan']"
136122,['American'],['side dish'],44,FALSE,FALSE,https://spoonacular.com/recipeImages/136122-556x370.jpg,Hot Dogs in Slow Cooker,http://www.food.com/recipe/hot-dogs-in-slow-cooker-312348,125,64.82,"Hot Dogs in Slow Cooker is an American recipe that serves 4. One portion of this dish contains approximately 9g of protein, 8g of fat, and a total of 229 calories. For 65 cents",
127492,[],['side dish'],33,FALSE,FALSE,https://spoonacular.com/recipeImages/127492-556x370.png,Creamy Blueberry Pie,http://baking.food.com/recipe/creamy-blueberry-pie-11255,130,107.58,"This recipe serves 6. One portion of this dish contains roughly 9g of protein, 20g of fat, and a total of 435 calories. For $1.08 per serving, this recipe covers 9% ",
240311,[],['side dish'],29,FALSE,TRUE,https://spoonacular.com/recipeImages/240311-556x370.jpg,Gingerbread Squares with Lemon-Cream Cheese Frosting,http://www.myrecipes.com/m/recipe/gingerbread-squares-with-lemon-cream-cheese-frosting-10000001933431/,45,102.37,"Gingerbread Squares with Lemon-Cream Cheese Frosting might be just the dessert you are searching for. One serving contains 734 calories, 6g of protein, and 38g of fat. This recipe","['hand mixer', 'frying pan', 'wire rack', 'oven']"
270564,[],"['lunch', 'main course', 'main dish', 'dinner']",84,FALSE,FALSE,https://spoonacular.com/recipeImages/270564-556x370.jpg,Simple Scalloped Potatoes,http://www.Kraftrecipes.com/recipes/crowd-pleasing-scalloped-potatoes-114690.aspx,120,1228.01,"You can never have too many side dish recipes, so give Simple Scalloped Potatoes a try. For $12.28 per serving, this recipe covers 78% of your daily requirements of vitamins and minerals","['oven', 'sauce pan', 'whisk', 'baking pan']"
271479,[],['side dish'],32,FALSE,TRUE,https://spoonacular.com/recipeImages/271479-556x370.png,Pumpkin Cheesecake with Sour Cream Topping,http://allrecipes.com/Recipe/Pumpkin-Cheesecake-with-Sour-Cream-Topping/Detail.aspx,605,120,Pumpkin Cheesecake with Sour Cream Topping requires around 10 hours and 5 minutes from start to finish. This recipe serves 14 and costs $1.2 per serving. One portion of this dish contains aroun,"['springform pan', 'oven', 'bowl', 'baking sheet', 'wire rack', 'knife', 'frying pan']"
131992,[],"['antipasti', 'starter', 'snack', 'appetizer', 'antipasto', ""hor d'oeuvre""]",14,FALSE,TRUE,https://spoonacular.com/recipeImages/131992-556x370.jpg,Diet Coke Cake,http://www.food.com/recipe/diet-coke-cake-224794,25,54.51,"Diet Coke Cake might be just the dessert you are searching for. This recipe serves 16 and costs 55 cents per serving. One portion of this dish contains about 2g of protein, 1g of fat, an",
124042,[],"['lunch', 'main course', 'main dish', 'dinner']",46,FALSE,TRUE,https://spoonacular.com/recipeImages/124042-556x370.png,Harvest Tart,http://www.epicurious.com/recipes/food/views/Harvest-Tart-241229,45,348.31,"Harvest Tart is a vegetarian dessert. One serving contains 954 calories, 13g of protein, and 42g of fat. This recipe serves 4 and costs $3.48 per serving. 2 people were imp",
188029,[],['side dish'],18,FALSE,TRUE,https://spoonacular.com/recipeImages/188029-556x370.jpg,Coconut Shrimp with Tamarind Ginger Sauce,http://www.epicurious.com/recipes/food/views/106513,300,133.53,"Coconut Shrimp with Tamarind Ginger Sauce is a dairy free and vegetarian recipe with 8 servings. One serving contains 517 calories, 4g of protein, and 41g of fat. For $1","['whisk', 'bowl']"
173672,[],"['antipasti', 'starter', 'snack', 'appetizer', 'antipasto', ""hor d'oeuvre""]",19,FALSE,TRUE,https://spoonacular.com/recipeImages/173672-556x370.jpg,Gluten-Free Cucumber Slices Provençal,http://www.BettyCrocker.com/recipes/gluten-free-cucumber-slices-provencal/8cf66245-48da-40b6-ad3d-0cce90c3947c,10,14.02,"Gluten-Free Cucumber Slices Provençal might be just the hor d'oeuvre you are searching for. One serving contains 8 calories, 0g of protein, and 0g of fat. For 14 cents per serv","['peeler', 'paper towels']"
199194,[],['side dish'],18,FALSE,FALSE,https://spoonacular.com/recipeImages/199194-556x370.jpg,Mushroom Polenta Canapés,http://www.myrecipes.com/recipe/mushroom-polenta-canaps-10000001918464/,45,96.11,"You can never have too many side dish recipes, so give Mushroom Polenta Canapés a try. This gluten free recipe serves 12 and costs 96 cents per serving. One serving contains 92 calories,","['plastic wrap', 'baking pan', 'sauce pan', 'whisk', 'broiler', 'baking sheet', 'bowl', 'frying pan']"
140004,[],"['antipasti', 'starter', 'snack', 'appetizer', 'antipasto', ""hor d'oeuvre""]",9,FALSE,TRUE,https://spoonacular.com/recipeImages/140004-556x370.png,Lepp Cookies II,http://allrecipes.com/Recipe/lepp-cookies-ii/detail.aspx,45,16.87,"You can never have too many dessert recipes, so give Lepp Cookies II a try. This recipe serves 36. One serving contains 158 calories, 2g of protein, and 7g of fat. For 17 cents",
174182,[],"['antipasti', 'starter', 'snack', 'appetizer', 'antipasto', ""hor d'oeuvre""]",5,FALSE,FALSE,https://spoonacular.com/recipeImages/174182-556x370.jpg,Cookie Bones,http://www.BettyCrocker.com/recipes/cookie-bones/3f7d3a58-b3f9-43f2-b7e5-6b9e572c5350,195,20.67,"Cookie Bones might be just the dessert you are searching for. This recipe makes 48 servings with 73 calories, 1g of protein, and 5g of fat each. For 16 cents per serving, t","['bowl', 'oven', 'baking sheet', 'wire rack', 'microwave']"
158323,[],['side dish'],43,TRUE,TRUE,https://spoonacular.com/recipeImages/158323-556x370.jpg,Pumpkin Oatmeal Cakes,http://blog.fatfreevegan.com/2013/10/pumpkin-oatmeal-cakes-with-apple-pecan-compote.html,175,177.72,"If $1.78 per serving falls in your budget, Pumpkin Oatmeal Cakes might be an excellent gluten free and vegan recipe to try. This recipe serves 8. One portion of this dish contains around","['blender', 'baking paper', 'baking pan', 'sauce pan', 'cutting board', 'frying pan', 'oven']"
260743,[],['side dish'],21,FALSE,FALSE,https://spoonacular.com/recipeImages/260743-556x370.jpg,Chicken Kiev,http://www.myrecipes.com/recipe/chicken-kiev-10000000422323/,45,43.67,"Chicken Kiev requires around 45 minutes from start to finish. This recipe serves 6. For 78 cents per serving, this recipe covers 16% of your daily requirements of vitamins and min","['bowl', 'plastic wrap', 'meat tenderizer', 'rolling pin', 'frying pan', 'baking sheet', 'oven']"
280283,[],['side dish'],20,FALSE,FALSE,https://spoonacular.com/recipeImages/280283-556x370.jpg,Honey-Mustard Cream,http://www.myrecipes.com/recipe/honey-mustard-cream-10000000682670/,45,122.69,"Need a gluten free and primal side dish? Honey-Mustard Cream could be a spectacular recipe to try. One portion of this dish contains roughly 5g of protein, 15g of fat, and a total","['frying pan', 'whisk']"
252745,[],['side dish'],83,TRUE,TRUE,https://spoonacular.com/recipeImages/252745-556x370.jpg,Easy Green Gazpacho,http://www.sippitysup.com/recipe/easy-green-gazpacho/,20,45.64,"You can never have too many soup recipes, so give Easy Green Gazpacho a try. Watching your figure? This gluten free, fodmap friendly, and vegan recipe has 9 calories, 0g of protein, and ","['food processor', 'bowl']"
133928,[],"['morning meal', 'brunch', 'breakfast']",17,FALSE,FALSE,https://spoonacular.com/recipeImages/133928-556x370.png,Weekend Brunch Casserole,http://allrecipes.com/recipe/weekend-brunch-casserole/detail.aspx,30,99.73,"Weekend Brunch Casserole requires roughly 30 minutes from start to finish. One portion of this dish contains around 11g of protein, 15g of fat, and a total of 229 calories.","['frying pan', 'oven', 'baking pan', 'bowl']"
67507,[],['side dish'],22,FALSE,TRUE,https://spoonacular.com/recipeImages/67507-556x370.jpg,Chocolate Spice Zucchini Cake,http://www.recipezaar.com/Chocolate-Spice-Zucchini-Cake-20958,87,47.03,"Chocolate Spice Zucchini Cake is a dairy free and vegetarian recipe with 12 servings. One serving contains 322 calories, 4g of protein, and 19g of fat. For 47 cents per ",
252386,[],"['lunch', 'main course', 'main dish', 'dinner']",79,FALSE,FALSE,https://spoonacular.com/recipeImages/252386-556x370.jpg,Tiffany’s Tips for Sweet & Spicy Meatballs,http://allrecipes.com/Recipe/Tiffanys-Sweet-and-Spicy-Meatballs/Detail.aspx,45,224.46,"You can never have too many main course recipes, so give Tiffany’s Tips for Sweet & Spicy Meatballs a try. This gluten free and dairy free recipe serves 6 and costs $2.24 per serving. One servi","['aluminum foil', 'baking pan', 'oven', 'bowl', 'frying pan']"
270530,[],['salad'],63,FALSE,FALSE,https://spoonacular.com/recipeImages/270530-556x370.jpg,Chicken Pasta Salad,http://allrecipes.com/Recipe/Chicken-Pasta-Salad/Detail.aspx,40,219.12,"Chicken Pasta Salad might be just the main course you are searching for. One serving contains 636 calories, 35g of protein, and 37g of fat. This recipe serves 6 and costs $2.19 pe","['pot', 'whisk', 'bowl']"
244596,"['Spanish', 'European']","['lunch', 'main course', 'main dish', 'dinner']",72,FALSE,FALSE,https://spoonacular.com/recipeImages/244596-556x370.jpg,Saffron Shrimp Paella,http://www.epicurious.com:80/recipes/food/views/Saffron-Shrimp-Paella-363379,45,341.28,"Saffron Shrimp Paellan is a gluten free and dairy free recipe with 2 servings. One portion of this dish contains roughly 26g of protein, 3g of fat, and a total of 441 calories<",['frying pan']
14531,[],"['lunch', 'main course', 'main dish', 'dinner']",87,FALSE,FALSE,https://spoonacular.com/recipeImages/14531-556x370.jpg,Warm Grilled Peach And Frisee Salad With Goat's Cheese Dressing,http://www.jamieoliver.com/recipes/salad-recipes/warm-grilled-peach-frisee-salad-with,24,593.52,Warm Grilled Peach And Frisee Salad With Goat's Cheese Dressing might be just the main course you are searching for. This gluten free and primal recipe serves 1 and costs $5.71 per serving. One,
130850,[],['side dish'],23,FALSE,FALSE,https://spoonacular.com/recipeImages/130850-556x370.png,Chocolate-Mint Pudding Cakes,http://www.epicurious.com/recipes/food/views/Chocolate-Mint-Pudding-Cakes-234165,45,116.24,"For $1.13 per serving, this recipe covers 10% of your daily requirements of vitamins and minerals. This recipe serves 6. One serving contains 427 calories, 7g of protein, a","['ramekin', 'sauce pan', 'oven', 'hand mixer', 'bowl', 'baking sheet', 'knife', 'pot holder', 'oven mitt']"
49737,[],['side dish'],33,FALSE,TRUE,https://spoonacular.com/recipeImages/49737-556x370.jpg,Banana-cinnamon Muffins,http://poorgirlgourmet.blogspot.com/2008/12/cracking-baking-code.html,45,135.93,"Banana-cinnamon Muffins might be just the morn meal you are searching for. This recipe serves 5 and costs $1.11 per serving. One serving contains 706 calories, 9g of protein, and 35g ",
267048,[],['salad'],45,TRUE,TRUE,https://spoonacular.com/recipeImages/267048-556x370.jpg,Peanut Cucumber Salad,http://www.myrecipes.com/recipe/peanut-cucumber-salad-10000000659348/,45,36.45,"Peanut Cucumber Salad is a gluten free, fodmap friendly, and vegan side dish. For 36 cents per serving, this recipe covers 5% of your daily requirements of vitamins and minerals. ",['bowl']
84347,[],['side dish'],34,FALSE,TRUE,https://spoonacular.com/recipeImages/84347-556x370.jpg,Mushrooms In Cream,http://www.anediblemosaic.com/?p=6972,18,128.92,"Mushrooms In Cream might be just the side dish you are searching for. For $1.29 per serving, this recipe covers 10% of your daily requirements of vitamins and minerals. This recipe makes",
132371,[],['side dish'],10,FALSE,FALSE,https://spoonacular.com/recipeImages/132371-556x370.jpg,Basic Sponge Cake,http://baking.food.com/recipe/basic-sponge-cake-208078,65,20.41,"Basic Sponge Cake is a dairy free dessert. This recipe serves 8. One serving contains 109 calories, 4g of protein, and 2g of fat. For 20 cents per serving, this reci",
20683,[],"['lunch', 'main course', 'main dish', 'dinner']",63,FALSE,FALSE,https://spoonacular.com/recipeImages/20683-556x370.jpg,Red Wine Beef Stew,http://www.myrecipes.com/recipe/red-wine-beef-stew-10000001867540/,206,323.36,"Red Wine Beef Stew might be just the main course you are searching for. This recipe serves 8. One portion of this dish contains roughly 47g of protein, 30g of fat, and a total of 516 ","['paper towels', 'bowl', 'dutch oven', 'whisk']"
62149,[],['side dish'],24,FALSE,TRUE,https://spoonacular.com/recipeImages/62149-556x370.jpg,Savory Yogurt Cheesecake with Caramelized Onions,http://www.myrecipes.com/recipe/savory-yogurt-cheesecake-with-caramelized-onions-10000000577162/,45,109.91,"Watching your figure? This vegetarian recipe has 250 calories, 9g of protein, and 13g of fat per serving. For $1.1 per serving, this recipe covers 9% of your daily r","['plastic wrap', 'cheesecloth', 'colander', 'bowl', 'blender', 'oven', 'measuring cup', 'knife', 'food processor', 'springform pan', 'wire rack', 'frying pan']"
264195,[],"['lunch', 'main course', 'main dish', 'dinner']",34,FALSE,FALSE,https://spoonacular.com/recipeImages/264195-556x370.jpg,Sausage and Egg Casserole,http://allrecipes.com/recipe/sausage-and-egg-casserole/Detail.aspx,575,108.21,"Sausage and Egg Casserole requires around 9 hours and 35 minutes from start to finish. This recipe makes 8 servings with 388 calories, 22g of protein, and 27g of fat each. ","['frying pan', 'bowl', 'baking pan', 'oven', 'knife']"
196543,[],[],55,TRUE,TRUE,https://spoonacular.com/recipeImages/196543-556x370.jpg,Whole Grain Dijon Mustard,http://www.seriouseats.com/recipes/2012/04/whole-grain-dijon-mustard-how-to-make-at-home-recipe.html,5760,115.29,"This recipe serves 4. For $1.51 per serving, this recipe covers 10% of your daily requirements of vitamins and minerals. One portion of this dish contains roughly 6g of protein, <","['bowl', 'blender']"
9746,[],['salad'],55,FALSE,TRUE,https://spoonacular.com/recipeImages/9746-556x370.jpg,"Chopped Salad with Beets, Beans, Goat Cheese and Hazelnuts",http://www.foodandwine.com/recipes/chopped-salad-with-beets-beans-goat-cheese-and-hazelnuts,60,149.81,"Chopped Salad with Beets, Beans, Goat Cheese and Hazelnuts is a gluten free, primal, and vegetarian side dish. One portion of this dish contains roughly 5g of protein, 10g of fat,","['oven', 'baking pan', 'aluminum foil', 'sauce pan', 'whisk', 'bowl']"
253492,[],['soup'],99,TRUE,TRUE,https://spoonacular.com/recipeImages/253492-556x370.jpg,Bryan's Spicy Red Lentil Soup,http://allrecipes.com/Recipe/Bryans-Spicy-Red-Lentil-Soup/Detail.aspx,45,87.9,"Bryan's Spicy Red Lentil Soup might be just the soup you are searching for. Watching your figure? This caveman, gluten free, primal, and whole 30 recipe has 66 calories, 4g of protein, a","['pot', 'immersion blender', 'blender']"
5513,[],"['lunch', 'main course', 'main dish', 'dinner']",48,FALSE,FALSE,https://spoonacular.com/recipeImages/5513-556x370.jpg,Shrimp With Yogurt-Cucumber Sauce,http://www.myrecipes.com/recipe/shrimp-with-yogurt-cucumber-sauce-10000000701158/,30,306.93,"Shrimp With Yogurt-Cucumber Sauce is a gluten free, primal, and pescatarian main course. This recipe serves 8. For $3.03 per serving, this recipe covers 15% of your daily requirem",['frying pan']
248665,['American'],"['lunch', 'main course', 'main dish', 'dinner']",91,FALSE,FALSE,https://spoonacular.com/recipeImages/248665-556x370.jpg,Cashew Crusted Dairy-Free French Toast,http://www.godairyfree.org/recipes/cashew-crusted-dairy-free-french-toast,45,502.04,The recipe Cashew Crusted Dairy-Free French Toast could satisfy your American craving in about 45 minutes. This recipe serves 4 and costs $5.46 per serving. One serving contains 1559 calorie,"['bowl', 'frying pan', 'whisk', 'spatula']"
71352,[],"['lunch', 'main course', 'main dish', 'dinner']",54,FALSE,FALSE,https://spoonacular.com/recipeImages/71352-556x370.png,Piggy Pot Pies,http://www.domessticated.com/2011/05/creative-guest-chef-piggy-pot-pies-by.html,45,180.58,"Piggy Pot Pies might be just the main course you are searching for. One portion of this dish contains approximately 24g of protein, 49g of fat, and a total of 781 calories. This r",
288382,[],['side dish'],15,FALSE,FALSE,https://spoonacular.com/recipeImages/288382-556x370.jpeg,Grilled Pound Cake with Cream Cheese Glaze and Grilled Peaches,http://www.foodnetwork.com/recipes/melissa-darabian/grilled-pound-cake-with-cream-cheese-glaze-and-grilled-peaches-recipe.html,50,124.07,"This recipe serves 4 and costs $1.24 per serving. One serving contains 420 calories, 5g of protein, and 26g of fat. Only a few people made this recipe, and 1 would say it hit the ","['grill', 'sauce pan']"
1980,[],"['lunch', 'main course', 'main dish', 'dinner']",79,FALSE,FALSE,https://spoonacular.com/recipeImages/1980-556x370.jpg,Steamed Green Cabbage With Halibut Fillet,http://www.marthastewart.com/318941/steamed-green-cabbage-with-halibut-fille,35,620.13,"Steamed Green Cabbage With Halibut Fillet might be just the main course you are searching for. One serving contains 301 calories, 35g of protein, and 11g of fat. For $6.2 per s",
282381,[],"['antipasti', 'starter', 'snack', 'appetizer', 'antipasto', ""hor d'oeuvre""]",12,FALSE,FALSE,https://spoonacular.com/recipeImages/282381-556x370.jpg,Ham & Cheese on Rye with Dipping Sauce,http://www.Kraftrecipes.com/recipes/ham-cheese-on-rye-dipping-sauce-56675.aspx,20,10.81,"Ham & Cheese on Rye with Dipping Sauce is a ketogenic hor d'oeuvre. This recipe serves 20 and costs 13 cents per serving. One portion of this dish contains around 5g of protein, 6g of","['oven', 'baking sheet']"
206011,[],['side dish'],84,TRUE,TRUE,https://spoonacular.com/recipeImages/206011-556x370.jpg,Grilled Fingerling Potatoes and Peppers,http://www.myrecipes.com/recipe/grilled-fingerling-potatoes-peppers-10000001839953/,45,120.76,"Grilled Fingerling Potatoes and Peppers requires approximately 45 minutes from start to finish. One portion of this dish contains approximately 3g of protein, 4g of fat, and a tot",['grill']
